k,t_s,offset_ns,offset_simulink_ns,meas_ns,corr_ppb,freq_adj,adj_valid
288,0.288,3.6385498046875,3.63856094140583,20.7889118049429,51131.7935224252,-1405500,0
289,0.289,2.0067138671875,2.00675146627128,-26.2268247430804,47076.4833300051,-1294029,0
290,0.29,4.43017578125,4.43024981090094,-9.4550875415828,48448.8526996512,-1331752,0
291,0.291,5.4813232421875,5.48137543155339,-55.3179161420171,44375.5950971988,-1219787,0
292,0.292,10.605712890625,10.6057602843343,-15.9238165340435,47623.8807297718,-1309075,0
293,0.293,12.4818115234375,12.4818597205163,-11.9838827689053,47907.7276734275,-1316878,0
294,0.294,14.0740966796875,14.0741119552357,-48.4642707819876,44650.1411591046,-1227334,0
295,0.295,18.9239501953125,18.9239534110906,28.8411763223451,51261.6835632386,-1409070,0
296,0.296,17.1622314453125,17.1622534637634,57.7878632903675,53922.8569805452,-1482220,0
297,0.297,12.7393798828125,12.7393784317986,46.042110828832,53117.3772482005,-1460079,0
298,0.298,9.1220703125,9.12198511056251,-1.004743551605,49159.0283162742,-1351273,0
299,0.299,9.4630126953125,9.46294809706256,-34.7396402070331,46186.3906830548,-1269562,0
